acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,loudness,valence,loudness_instrumentalness_diff,energy_instrumentalness_diff,danceability_energy_diff,popularity
0.337,0.851,164041,0.819,0.000153,0.0658,0.212,-5.173,0.903,5.173153,0.818847,0.03200000000000003,71
0.031,0.785,148855,0.609,5.47e-05,0.096,0.186,-8.623,0.326,8.623054699999999,0.6089453,0.17600000000000005,65
0.472,0.951,201280,0.692,0.000182,0.0894,0.312,-4.038,0.431,4.038182,0.6918179999999999,0.259,77
0.458,0.662,174474,0.515,0.0,0.163,0.199,-6.867,0.386,6.867,0.515,0.14700000000000002,61
0.654,0.963,178530,0.905,0.0481,0.107,0.117,-4.053,0.594,4.1011,0.8569,0.05799999999999994,63
0.143,0.582,234053,0.813,0.0837,0.349,0.0433,-7.443,0.315,7.5267,0.7293,0.23099999999999998,63
0.522,0.653,234174,0.442,0.699,0.107,0.0337,-11.727,0.363,12.426,0.25699999999999995,0.21100000000000002,64
0.216,0.463,237033,0.827,0.0,0.145,0.219,-4.43,0.399,4.43,0.827,0.36399999999999993,60
0.141,0.723,166947,0.478,0.0,0.214,0.17,-8.589,0.817,8.589,0.478,0.245,60
0.00157,0.588,199669,0.88,0.00133,0.112,0.0546,-4.615,0.658,4.6163300000000005,0.87867,0.29200000000000004,58
0.0976,0.647,128853,0.871,0.000534,0.173,0.0936,-7.144,0.643,7.144534,0.870466,0.22399999999999998,63
0.548,0.593,159545,0.755,0.0,0.0542,0.218,-6.157,0.114,6.157,0.755,0.16200000000000003,56
0.375,0.808,217872,0.478,0.0,0.0761,0.381,-8.63,0.335,8.63,0.478,0.33000000000000007,58
0.0043,0.94,187200,0.465,0.0,0.14,0.354,-8.3,0.105,8.3,0.465,0.4749999999999999,53
0.0356,0.705,208710,0.943,0.00424,0.332,0.218,-3.118,0.786,3.1222399999999997,0.9387599999999999,0.238,53
0.000569,0.703,182750,0.818,0.0792,0.0964,0.037,-7.905,0.63,7.9842,0.7387999999999999,0.11499999999999999,45
0.262,0.487,217056,0.471,0.00278,0.131,0.0639,-4.654,0.509,4.6567799999999995,0.46821999999999997,0.016000000000000014,43
0.0452,0.563,212747,0.575,0.0,0.101,0.0266,-5.072,0.162,5.072,0.575,0.01200000000000001,55
0.346,0.544,220571,0.652,1.71e-06,0.114,0.0527,-6.938,0.519,6.93800171,0.65199829,0.10799999999999998,62
0.484,0.488,149235,0.264,0.0,0.131,0.0336,-12.325,0.304,12.325,0.264,0.22399999999999998,49
0.0277,0.556,358000,0.873,0.0973,0.182,0.0666,-3.645,0.478,3.7423,0.7757000000000001,0.31699999999999995,49
0.371,0.535,227562,0.874,0.0,0.192,0.137,-2.248,0.323,2.248,0.874,0.33899999999999997,82
0.175,0.809,198293,0.557,4.41e-06,0.122,0.247,-9.645,0.734,9.64500441,0.5569955900000001,0.252,56
0.117,0.729,177372,0.786,0.0,0.265,0.0389,-4.357,0.729,4.357,0.786,0.05700000000000005,54
0.0756,0.62,161918,0.904,5.49e-05,0.289,0.153,-5.729,0.655,5.7290549,0.9039451000000001,0.28400000000000003,50
0.114,0.392,314398,0.358,0.000475,0.114,0.146,-14.218,0.114,14.218475,0.357525,0.03400000000000003,51
0.0431,0.839,180760,0.642,6.76e-05,0.148,0.0535,-5.581,0.211,5.581067600000001,0.6419324000000001,0.19699999999999995,57
0.877,0.158,385653,0.252,0.0697,0.162,0.0324,-11.872,0.0367,11.941699999999999,0.18230000000000002,0.094,49
0.5,0.558,193493,0.786,0.000713,0.117,0.0322,-7.425,0.946,7.425713,0.7852870000000001,0.22799999999999998,42
0.321,0.571,193120,0.661,1.44e-05,0.141,0.047,-9.03,0.385,9.030014399999999,0.6609856000000001,0.09000000000000008,54
0.156,0.631,113400,0.449,0.0028,0.0683,0.0369,-8.185,0.621,8.187800000000001,0.4462,0.182,50
